"Nombre_Equipo","Fundación","Localidad","PISTA_Zona_Pista","PISTA_Número_de_pista"
Ajax,"2022-03-30",grande,CD. ANTONIO ALVAREZ,1
Arsenal,"2010-08-04",montenegro,CD. ANTONIO ALVAREZ,2
AS Monaco,"2013-09-02",Cova de Iria,CD. ANTONIO ALVAREZ,3
AS Saint-Étienne,"2007-01-01",Al Ma'udah,CD. ANTONIO ALVAREZ,4
Atalanta,"2011-07-28",Dukuhsia,CD. VEGA DE TRIANA FS,1
Atlético Madrid,"2014-07-11",Luoxiong,CD. VEGA DE TRIANA FS,2
Atlético Mineiro,"2012-07-01",Ust'-Dzheguta,CD. VEGA DE TRIANA FS,3
Bayer 04 Leverkusen,"2013-07-03",Jamaica,CD. VEGA DE TRIANA FS,4
Be?ikta? JK,"2005-07-01",Üydzen,CD. ANTONIO ALVAREZ,1
Borussia Dortmund,"2010-07-01",Pogag,CD. ANTONIO ALVAREZ,2
Chelsea,"2012-07-01",Marsella,CD. ANTONIO ALVAREZ,3
Dalian YiFang FC,"2013-07-09",San Antonio,CD. ANTONIO ALVAREZ,4
Everton,"2014-07-01",Drakino,CD. VEGA DE TRIANA FS,1
FC Barcelona,"2004-07-01",Żarki,CD. VEGA DE TRIANA FS,2
FC Bayern München,"2005-08-01",Al Jamaliyah,CD. VEGA DE TRIANA FS,3
FC Porto,"2011-07-01",niška banja,CD. VEGA DE TRIANA FS,4
FC Schalke 04,"2011-07-28",Macachín,CD. ANTONIO ALVAREZ,1
Grêmio,"2012-07-01",Banī Khallād,CD. ANTONIO ALVAREZ,2
Guangzhou Evergrande Taobao FC,"2013-07-16",Bajíao,CD. ANTONIO ALVAREZ,3
Inter,"2016-07-16",Launceston,CD. ANTONIO ALVAREZ,4
Juventus,"2018-07-10",lincoln,CD. VEGA DE TRIANA FS,1
LA Galaxy,"2018-07-01",kangping,CD. VEGA DE TRIANA FS,2
Lazio,"2015-07-01",San Pedro,CD. VEGA DE TRIANA FS,3
Leicester City,"2012-08-01",Dongtundu,CD. VEGA DE TRIANA FS,4
Liverpool,"2014-07-01",Khon Buri,CD. ANTONIO ALVAREZ,1
Manchester City,"2015-08-30",Canutama,CD. ANTONIO ALVAREZ,2
Manchester United,"2011-07-01",Thị Trấn Tà Lùng,CD. ANTONIO ALVAREZ,3
Milan,"2010-07-14",Tilburgo,CD. ANTONIO ALVAREZ,4
Napoli,"2014-07-17",Ferraz de Vasconcelos,CD. VEGA DE TRIANA FS,1
Olympique de Marseille,"2011-07-28",Ubiaja,CD. VEGA DE TRIANA FS,2
Olympique Lyonnais,"2014-07-01",Sanfins,CD. VEGA DE TRIANA FS,3
Paris Saint-Germain,"2017-08-03",kristiansand s,CD. VEGA DE TRIANA FS,4
RB Leipzig,"2018-07-06",Khadzhalmakhi,CD. ANTONIO ALVAREZ,1
RC Celta,"2010-07-01",Kademangan,CD. ANTONIO ALVAREZ,2
Real Betis,"2013-07-11",Yotala,CD. ANTONIO ALVAREZ,3
Real Madrid,"2012-08-01",Wonosari,CD. ANTONIO ALVAREZ,4
Real Sociedad,"2013-08-30",Panglanjan,CD. VEGA DE TRIANA FS,1
Roma,"2018-08-09",Lanhas,CD. VEGA DE TRIANA FS,2
Sevilla FC,"2018-01-31",Tangkou,CD. VEGA DE TRIANA FS,3
SL Benfica,"2016-07-01",Lysekil,CD. VEGA DE TRIANA FS,4
Sporting CP,"2017-07-01",prohibición muang,CD. ANTONIO ALVAREZ,1
Tottenham Hotspur,"2014-07-16",Providencia,CD. ANTONIO ALVAREZ,2
Valencia CF,"2008-09-01",Yekaterinovka,CD. ANTONIO ALVAREZ,3
Villarreal CF,"2018-01-06",Cha Grande,CD. ANTONIO ALVAREZ,4
Vissel Kobe,"2014-07-28",Itararé,CD. VEGA DE TRIANA FS,1
West Ham United,"2016-08-09",Gavle,CD. VEGA DE TRIANA FS,2
